INFO  2025-03-27T22:30:45.900 [] org.hibernate.validator.internal.util.Version                              :21   | HV000001: Hibernate Validator 8.0.1.Final
INFO  2025-03-27T22:30:45.936 [] com.ducbao.service_be.ServiceBeApplication                                 :50   | Starting ServiceBeApplication using Java 21.0.1 with PID 14572 (D:\doantotnghiep\service_be\target\classes started by acer in D:\doantotnghiep)
INFO  2025-03-27T22:30:46.025 [] com.ducbao.service_be.ServiceBeApplication                                 :654  | No active profile set, falling back to 1 default profile: "default"
INFO  2025-03-27T22:30:46.088 [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:252  | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
INFO  2025-03-27T22:30:46.090 [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:252  | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
INFO  2025-03-27T22:30:46.899 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:30:46.900 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
INFO  2025-03-27T22:30:46.909 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 4 ms. Found 0 Elasticsearch repository interfaces.
INFO  2025-03-27T22:30:47.188 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:30:47.189 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
INFO  2025-03-27T22:30:47.238 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ADSSubscriptionRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.242 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.AdvertisementRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.246 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CategoryRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.251 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CommentRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.254 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.FavoriteRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.257 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.HistoryPaymentRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.261 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.OpenTimeRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.266 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ReviewRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.271 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ServiceRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.275 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ShopRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.632 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.UserRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:30:47.687 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 497 ms. Found 1 Elasticsearch repository interface.
INFO  2025-03-27T22:30:47.695 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:30:47.696 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
INFO  2025-03-27T22:30:47.708 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ADSSubscriptionRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.709 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.AdvertisementRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.710 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CategoryRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.711 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CommentRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.711 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.FavoriteRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.712 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.HistoryPaymentRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
